Project, LC (t=400), LM(t=20), LPL(t=2), TMM(t=5), Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
KRefreshLayout, 1, 0, 2, 4, 7, 523, 2, 1324, 65, 4, 199
KGraphQL, 6, 1, 35, 15, 57, 545, 8, 7418, 149, 9, 199
Helium, 0, 0, 1, 2, 3, 247, 5, 1773, 53, 2, 199
DxLoadingButton, 1, 0, 0, 1, 2, 773, 2, 601, 76, 5, 195
LDialog, 1, 0, 4, 4, 9, 145, 2, 990, 40, 2, 195
spring-kotlin-coroutine, 0, 0, 100, 27, 127, 585, 18, 7683, 62, 2, 193
WPopup, 2, 1, 2, 4, 9, 88, 1, 1379, 34, 2, 192
DoubanMovie, 0, 0, 4, 10, 14, 548, 0, 2490, 21, 2, 192
AndroidDeviceNames, 0, 0, 0, 0, 0, 1201, 0, 305, 37, 3, 192
EditDrawableText, 1, 0, 0, 0, 1, 144, 1, 209, 27, 5, 190
kotlin-nosql, 2, 1, 20, 7, 30, 1964, 11, 2620, 214, 2, 190
tachiyomi-extensions, 37, 2, 9, 63, 111, 673, 107, 14972, 490, 43, 189
kotlin-spring-realworld-example-app, 1, 1, 4, 4, 10, 558, 5, 1074, 68, 4, 189
LocalStorage, 2, 0, 0, 2, 4, 1842, 0, 639, 103, 2, 188
clean-architecture-koin-boilerplate, 0, 0, 0, 4, 4, 75, 7, 1687, 83, 9, 187
MovieGuide-Kotlin, 0, 0, 1, 1, 2, 677, 2, 422, 30, 2, 186
AndroidDraw, 2, 0, 0, 3, 5, 192, 2, 637, 45, 3, 186
Movies-Kotlin-Kata, 0, 0, 0, 6, 6, 597, 3, 778, 57, 3, 185
android-disposebag, 0, 0, 0, 1, 1, 354, 0, 205, 22, 1, 185
intellij-emberjs, 1, 0, 13, 11, 25, 1104, 45, 3802, 583, 12, 185
clikt, 5, 1, 38, 2, 46, 229, 5, 5668, 288, 7, 185
Memento-Calendar, 6, 6, 38, 53, 103, 820, 6, 14549, 1670, 8, 185
kompass, 3, 1, 9, 9, 22, 354, 17, 4803, 157, 2, 184
RxRecyclerAdapter, 0, 1, 1, 4, 6, 1082, 2, 458, 61, 5, 182
Pr0, 21, 3, 110, 92, 226, 1380, 5, 26991, 3341, 21, 182
Prefekt, 0, 0, 31, 3, 34, 292, 0, 1565, 13, 2, 181
AndroidGeek, 3, 0, 8, 16, 27, 611, 1, 3184, 229, 3, 180
AvatarView, 1, 1, 0, 1, 3, 65, 1, 679, 18, 2, 179
transport-eta, 4, 0, 18, 10, 32, 536, 38, 4412, 184, 1, 179
DroidconKotlin, 2, 0, 7, 9, 18, 135, 8, 3441, 105, 4, 178
classyshark-bytecode-viewer, 0, 0, 1, 4, 5, 525, 1, 789, 89, 4, 178
SimpleNumberPicker, 2, 2, 3, 2, 9, 627, 0, 647, 28, 5, 178
expensius, 7, 10, 46, 41, 104, 1278, 16, 13802, 713, 5, 178
kotlinx.collections.immutable, 2, 0, 4, 13, 19, 913, 15, 1456, 68, 3, 177
koma, 14, 5, 106, 30, 155, 1005, 34, 14187, 696, 10, 176
kwery, 6, 1, 40, 16, 63, 1373, 10, 9405, 284, 8, 176
Shrine-MaterialDesign2, 0, 0, 0, 0, 0, 193, 0, 57, 8, 2, 175
ArchitectureComponentsDemo, 0, 0, 7, 6, 13, 530, 1, 2483, 229, 3, 175
DYTT, 0, 0, 8, 10, 18, 987, 0, 2568, 305, 5, 175
CPWechatXposed, 0, 0, 0, 0, 0, 236, 3, 417, 15, 5, 174
ConstraintLayoutDemo, 0, 0, 0, 0, 0, 472, 0, 248, 24, 1, 174
RxBiometric, 0, 0, 0, 1, 1, 102, 3, 499, 59, 1, 173
kotlin-in-action, 0, 0, 8, 0, 8, 543, 1, 2557, 3, 1, 172
android-gradle-aspectj, 1, 1, 4, 3, 9, 1264, 12, 1139, 380, 13, 172
geospatial-messenger, 0, 0, 3, 3, 6, 987, 1, 482, 75, 5, 172
LangSandbox, 0, 0, 2, 0, 2, 870, 3, 708, 69, 4, 172
spring-kotlin-functional, 0, 0, 0, 1, 1, 486, 0, 430, 86, 3, 171
DragDropSwipeRecyclerview, 3, 0, 28, 10, 41, 40, 0, 2629, 58, 1, 171
LastPagerAdapter, 0, 0, 1, 1, 2, 662, 2, 247, 85, 2, 171
SELinuxModeChanger, 0, 0, 0, 1, 1, 1308, 3, 329, 16, 4, 170
kotlinx-io, 20, 0, 336, 36, 392, 417, 13, 19823, 447, 6, 169
CounterView, 0, 0, 0, 1, 1, 223, 0, 156, 26, 2, 169
lattekit, 7, 0, 26, 14, 47, 972, 12, 5004, 495, 1, 169
DelegationAdapter, 0, 0, 8, 5, 13, 222, 0, 1034, 120, 3, 168
artist, 0, 1, 9, 2, 12, 382, 2, 1763, 57, 5, 168
kotlin-jetpack, 0, 1, 6, 0, 7, 1154, 6, 823, 114, 1, 168
PaoNet, 1, 0, 15, 26, 42, 449, 0, 4238, 57, 2, 168
assertk, 4, 0, 11, 1, 16, 591, 20, 4792, 221, 18, 167
ktlint-gradle, 2, 0, 5, 2, 9, 629, 17, 1624, 382, 17, 167
Scarlet-Notes, 6, 7, 24, 51, 88, 935, 45, 11659, 422, 8, 166
EasyValidation, 1, 0, 269, 1, 271, 209, 3, 11097, 110, 6, 166
Enlightened, 2, 0, 2, 10, 14, 804, 21, 1391, 100, 3, 166
androidKotlin, 0, 0, 3, 0, 3, 1362, 0, 912, 23, 3, 166
BleGattCoroutines, 2, 0, 0, 2, 4, 334, 11, 1031, 136, 1, 165
gobandroid, 7, 1, 12, 25, 45, 3264, 59, 8419, 2108, 16, 164
android-media-picker, 5, 0, 7, 9, 21, 1267, 17, 2841, 27, 3, 164
krangl, 1, 3, 43, 6, 53, 923, 12, 4624, 333, 8, 163
wechat_no_revoke, 0, 0, 4, 1, 5, 683, 6, 314, 10, 1, 163
timeago, 2, 0, 14, 0, 16, 736, 5, 1176, 91, 11, 163
NumberRain, 0, 0, 0, 1, 1, 216, 1, 239, 8, 4, 162
GLRippleView, 1, 0, 4, 3, 8, 549, 2, 462, 25, 2, 162
openrndr, 22, 8, 229, 55, 314, 278, 3, 17789, 458, 13, 162
Maxim, 1, 0, 3, 1, 5, 319, 12, 751, 54, 3, 161
swarmer, 0, 0, 4, 0, 4, 599, 6, 788, 26, 5, 161
ExoPlayerSample, 1, 0, 0, 1, 2, 745, 8, 251, 58, 5, 161
data2viz, 43, 49, 157, 60, 309, 579, 46, 35700, 1424, 7, 161
fenix, 0, 0, 0, 2, 2, 248, 34, 406, 78, 4, 161
Simple-Notes, 4, 0, 5, 7, 16, 1016, 20, 2192, 867, 42, 160
MoreType, 2, 2, 8, 7, 19, 511, 0, 2501, 189, 3, 160
import-cost, 0, 0, 3, 1, 4, 458, 10, 200, 33, 6, 160
palettehelper, 2, 0, 6, 3, 11, 1379, 1, 1297, 145, 2, 158
WeiYueKotlin, 2, 1, 25, 25, 53, 340, 2, 6315, 9, 3, 158
toshi-android-client, 22, 1, 78, 112, 213, 724, 12, 24715, 2804, 15, 158
RecyclerViewDivider, 1, 1, 2, 1, 5, 957, 1, 1152, 188, 3, 158
paranoid, 0, 0, 7, 3, 10, 905, 1, 59966, 138, 1, 157
android-dynamic-features, 1, 0, 0, 1, 2, 203, 7, 380, 16, 5, 157
oreilly-kotlin-course, 0, 0, 4, 0, 4, 780, 1, 1000, 17, 4, 157
NotificationBadge, 0, 0, 0, 0, 0, 718, 0, 127, 37, 3, 157
KotlinPrimer, 0, 0, 0, 0, 0, 173, 2, 1844, 9, 2, 155
ktnes, 6, 2, 13, 11, 32, 86, 5, 4111, 126, 2, 155
ColdStart, 0, 0, 0, 0, 0, 205, 0, 106, 7, 2, 155
gradle-maven-publish-plugin, 0, 0, 1, 0, 1, 184, 2, 483, 34, 6, 155
jasync-sql, 15, 2, 27, 17, 61, 94, 2, 12737, 777, 49, 154
Kotlin101, 0, 0, 1, 0, 1, 2362, 0, 735, 77, 2, 153
PatternLocker, 2, 0, 7, 9, 18, 432, 1, 1487, 37, 2, 152
NationalGeographic, 0, 0, 3, 3, 6, 425, 0, 1391, 15, 3, 152
SeekBarCompat, 1, 0, 0, 1, 2, 1244, 4, 440, 76, 6, 151
kotlin-sdp, 0, 0, 6, 0, 6, 424, 0, 1429, 76, 2, 151
realmfieldnameshelper, 0, 0, 1, 1, 2, 850, 7, 292, 40, 3, 151
DiffUtil-sample, 0, 0, 0, 0, 0, 829, 0, 123, 29, 1, 150
FingerPaintView, 1, 0, 0, 2, 3, 310, 1, 306, 10, 4, 150
GithubFollows, 0, 0, 8, 8, 16, 309, 1, 2607, 97, 5, 150
android-beacon-scanner, 3, 0, 1, 11, 15, 788, 3, 2097, 76, 4, 150
Smile, 0, 0, 7, 5, 12, 441, 4, 1482, 13, 2, 149
KotlinLanguageServer, 2, 0, 20, 12, 34, 181, 30, 4857, 382, 10, 149
HTTP-Shortcuts, 8, 3, 26, 23, 60, 1311, 29, 9886, 607, 7, 148
SimpleApiClient, 0, 0, 7, 1, 8, 421, 6, 973, 106, 3, 148
Keddit, 0, 0, 0, 1, 1, 1038, 1, 680, 33, 4, 148
ConductorMVP, 0, 0, 1, 7, 8, 377, 1, 1355, 73, 1, 148
jitwatch-intellij, 2, 0, 11, 9, 22, 869, 6, 1476, 57, 2, 147
PxJava, 0, 0, 0, 1, 1, 747, 0, 546, 1, 1, 147
konfig, 0, 0, 5, 2, 7, 1090, 7, 1398, 107, 4, 147
imgui, 39, 42, 304, 29, 414, 916, 13, 21893, 3312, 102, 146
kotlin-linq-examples, 2, 1, 0, 6, 9, 1080, 0, 1034, 26, 3, 146
waterfall-toolbar, 0, 0, 0, 1, 1, 429, 1, 408, 52, 5, 146
RxKotlin-Android-Samples, 0, 0, 1, 9, 10, 1058, 2, 2163, 34, 2, 145
StockTicker, 6, 4, 21, 25, 56, 1434, 10, 6188, 447, 4, 145
SuiYue, 1, 1, 6, 9, 17, 289, 0, 3648, 63, 2, 145
kmongo, 3, 3, 111, 23, 140, 923, 5, 24472, 452, 7, 144
AirPurgeView, 2, 1, 2, 3, 8, 381, 1, 715, 7, 2, 144
Constraint-Layout-Animations, 0, 0, 2, 0, 2, 270, 1, 556, 32, 2, 144
kuery, 1, 3, 3, 6, 13, 904, 5, 2101, 54, 3, 144
kapsule, 0, 0, 2, 1, 3, 620, 0, 1322, 63, 2, 144
simple-range-view, 2, 5, 10, 2, 19, 713, 10, 1193, 22, 2, 144
RuntimePermissionsExtended, 0, 0, 9, 3, 12, 548, 2, 436, 27, 2, 144
Blueprint, 0, 0, 0, 1, 1, 561, 4, 158, 363, 6, 144
blog-related, 1, 0, 6, 1, 8, 1063, 1, 3419, 197, 2, 143
autoplay, 0, 2, 4, 0, 6, 133, 0, 731, 71, 2, 143
colored-time-selector, 2, 1, 6, 11, 20, 328, 1, 1747, 31, 3, 143
Clojure-Kit, 11, 0, 53, 38, 102, 846, 5, 8548, 237, 4, 142
GetBilibili, 1, 0, 1, 1, 3, 799, 0, 375, 93, 1, 141
ktor-samples, 1, 0, 16, 5, 22, 306, 5, 5898, 201, 12, 141
expekt, 3, 0, 0, 6, 9, 1022, 10, 1946, 57, 4, 141
squash, 4, 0, 22, 8, 34, 920, 9, 4487, 154, 5, 141
kaffeine, 0, 0, 21, 2, 23, 1396, 2, 1459, 92, 2, 141
HtmlRecycler, 0, 0, 0, 1, 1, 90, 0, 1186, 44, 4, 140
voice-overlay-android, 0, 0, 2, 6, 8, 142, 0, 652, 152, 3, 140
mixite, 2, 8, 8, 9, 27, 1998, 5, 2912, 176, 12, 139
android-extras-delegates, 0, 0, 142, 0, 142, 658, 3, 1652, 23, 2, 139
json-2-kotlin, 0, 0, 14, 2, 16, 312, 1, 2157, 143, 2, 139
SimpleRatingBar, 0, 0, 1, 1, 2, 631, 0, 307, 15, 1, 139
billingx, 1, 0, 1, 5, 7, 259, 3, 1324, 27, 4, 139
Humanizer.jvm, 0, 0, 4, 3, 7, 1684, 3, 2317, 83, 9, 139
android-classic, 4, 2, 7, 7, 20, 696, 29, 2370, 241, 11, 138
ToggleButtonLayout, 1, 0, 0, 1, 2, 382, 3, 366, 13, 3, 138
KTFLITE, 0, 1, 1, 2, 4, 204, 0, 225, 15, 2, 138
Nier-Visualizer, 3, 0, 0, 10, 13, 339, 3, 1815, 47, 2, 138
Flopsy, 0, 0, 1, 1, 2, 165, 0, 275, 12, 1, 138
WechatHelper, 1, 0, 0, 1, 2, 235, 0, 428, 15, 2, 138
android-media-controller, 1, 2, 7, 3, 13, 521, 0, 2820, 72, 7, 137
Simple-Calculator, 3, 2, 4, 5, 14, 1067, 16, 1067, 419, 35, 137
FontBinder, 0, 0, 0, 1, 1, 879, 0, 76, 63, 2, 137
kotlin-jupyter, 0, 0, 3, 0, 3, 867, 7, 661, 55, 6, 136
Getting-started-with-Kotlin, 0, 0, 0, 1, 1, 740, 1, 399, 22, 1, 135
DoubanBook, 2, 1, 14, 8, 25, 519, 1, 2373, 51, 3, 135
Easel, 0, 1, 1, 0, 2, 1216, 2, 493, 46, 5, 135
MultiSelectAdapter, 1, 0, 2, 10, 13, 535, 0, 1566, 35, 2, 134
timberkt, 1, 1, 0, 0, 2, 879, 1, 301, 44, 2, 134
rubocop-for-rubymine, 1, 0, 7, 3, 11, 1475, 18, 698, 61, 4, 134
kotlinx.atomicfu, 3, 1, 12, 18, 34, 475, 15, 3506, 215, 10, 133
inspection-plugin, 7, 1, 30, 9, 47, 478, 7, 3881, 460, 4, 133
TouchEventBus, 1, 0, 4, 4, 9, 243, 4, 1249, 64, 2, 133
physics-playground, 0, 0, 7, 3, 10, 460, 0, 1124, 3, 1, 133
RecyclerViewBanner, 1, 0, 1, 3, 5, 199, 2, 754, 15, 2, 133
RxKotlinFX, 0, 0, 0, 0, 0, 1014, 2, 784, 147, 1, 133
PinCodeView, 1, 0, 0, 2, 3, 536, 3, 458, 20, 5, 132
sequence-layout, 1, 0, 0, 3, 4, 251, 5, 555, 30, 1, 132
material-design-guideline, 1, 2, 2, 1, 6, 599, 0, 2272, 55, 3, 132
kotlin-jpa-specification-dsl, 1, 0, 0, 0, 1, 801, 5, 375, 32, 6, 132
kotlin-eclipse, 7, 4, 126, 55, 192, 2093, 3, 21636, 2904, 31, 132
RxRedux, 0, 0, 10, 6, 16, 522, 0, 1791, 149, 11, 132
SlidingSquareLoaderView, 1, 0, 5, 4, 10, 528, 1, 546, 6, 1, 131
Mycroft-Android, 1, 0, 1, 5, 7, 888, 16, 1693, 171, 16, 130
AlertView, 0, 0, 0, 0, 0, 256, 5, 319, 23, 2, 130
statelin, 0, 0, 0, 0, 0, 302, 0, 93, 27, 3, 130
ModernAndroidApp, 0, 0, 0, 0, 0, 471, 0, 331, 77, 1, 130
android_usb_msd, 0, 0, 2, 1, 3, 687, 12, 275, 50, 6, 129
GenerateFindViewById, 2, 2, 8, 3, 15, 733, 10, 2728, 53, 4, 129
Notelin, 0, 0, 2, 7, 9, 947, 0, 643, 25, 4, 129
name-that-color-intellij-plugin, 0, 0, 1, 2, 3, 295, 4, 2251, 25, 1, 129
WechatBotXposed, 0, 0, 0, 0, 0, 200, 9, 213, 2, 1, 129
KotlinMvpArchitecture, 0, 0, 1, 2, 3, 551, 0, 650, 33, 1, 129
chicago-roboto, 0, 0, 6, 4, 10, 641, 13, 2292, 130, 10, 128
textricator, 2, 1, 25, 8, 36, 194, 2, 4027, 42, 2, 128
coordinator-behaviors, 2, 0, 2, 4, 8, 690, 3, 1706, 81, 2, 128
RxBonjour, 0, 0, 3, 5, 8, 1298, 7, 1585, 120, 5, 128
kotlin-koans-android, 2, 2, 10, 7, 21, 534, 2, 2933, 97, 1, 127
buildJar, 0, 0, 0, 0, 0, 821, 4, 135, 4, 1, 127
gesture-recycler, 1, 0, 1, 4, 6, 991, 0, 990, 37, 3, 127
AdvancedRecyclerView, 0, 0, 3, 4, 7, 943, 0, 1084, 113, 4, 127
TeXiFy-IDEA, 3, 0, 27, 26, 56, 877, 36, 13080, 1038, 10, 127
kotlin-weather, 0, 1, 1, 1, 3, 513, 2, 570, 17, 2, 126
AndroidArchitecture, 0, 0, 7, 5, 12, 555, 1, 1394, 37, 2, 126
isoviewer, 0, 0, 0, 0, 0, 1770, 3, 424, 187, 8, 126
medusa, 1, 0, 1, 5, 7, 17, 3, 659, 61, 5, 126
face-detector, 0, 0, 2, 1, 3, 776, 3, 115, 41, 4, 125
Rekado, 1, 1, 4, 5, 11, 146, 2, 1509, 88, 7, 125
KPermissions, 2, 0, 1, 6, 9, 324, 0, 2837, 78, 2, 125
android-kotlin-demo, 0, 0, 1, 1, 2, 905, 0, 699, 105, 3, 125
NewsApp, 0, 0, 6, 1, 7, 391, 0, 932, 89, 1, 125
PreferenceHolder, 0, 0, 8, 5, 13, 622, 5, 989, 128, 4, 124
kotlinx.cli, 0, 0, 32, 2, 34, 431, 5, 975, 34, 5, 124
ArcToolbarView, 0, 0, 0, 0, 0, 413, 1, 217, 48, 4, 124
RsKotlin, 0, 0, 0, 3, 3, 929, 1, 677, 83, 3, 123
kxdate, 0, 0, 0, 0, 0, 830, 0, 96, 5, 2, 123
disposer, 0, 0, 0, 2, 2, 57, 1, 489, 25, 1, 123
RxFirebase, 4, 0, 4, 0, 8, 794, 4, 3774, 234, 3, 123
android-drawable-dsl, 0, 0, 3, 0, 3, 597, 1, 356, 72, 4, 123
modular, 0, 0, 1, 0, 1, 233, 2, 482, 4, 1, 123
tropos-android, 2, 0, 7, 11, 20, 684, 3, 3322, 97, 5, 123
Simple-Contacts, 11, 5, 11, 20, 47, 350, 41, 7784, 1135, 30, 122
misk, 15, 9, 83, 45, 152, 356, 81, 29721, 1014, 32, 122
MVVM-Rhine, 0, 0, 18, 5, 23, 407, 1, 2641, 151, 3, 122
kotlinAndroidLib, 0, 0, 18, 0, 18, 2377, 3, 479, 100, 2, 121
Pokidex, 1, 0, 1, 2, 4, 116, 0, 722, 51, 2, 120
kotlin-web-demo, 7, 0, 84, 28, 119, 2459, 1, 15484, 1805, 33, 120
AuthManager, 1, 0, 1, 5, 7, 718, 0, 803, 2, 2, 119
idea-cloudformation, 4, 2, 11, 5, 22, 1791, 34, 4391, 507, 3, 119
DynamicReturnTypePlugin, 0, 0, 20, 8, 28, 2012, 21, 2248, 293, 7, 119
Put.io, 4, 1, 9, 17, 31, 2267, 11, 4711, 397, 13, 119
WykopMobilny, 11, 3, 93, 94, 201, 500, 22, 19072, 538, 22, 118
protoactor-kotlin, 3, 0, 21, 6, 30, 504, 8, 3973, 326, 6, 118
hotswap-agent-intellij-plugin, 0, 0, 5, 2, 7, 625, 4, 712, 32, 3, 118
kovert, 1, 3, 18, 1, 23, 1191, 8, 3147, 240, 3, 118
kotlin-extensions, 0, 0, 1, 0, 1, 1093, 3, 822, 60, 5, 117
oss-review-toolkit, 11, 1, 53, 24, 89, 402, 52, 20781, 2581, 14, 117
kubernetes-letsencrypt, 2, 0, 4, 3, 9, 799, 12, 1345, 174, 6, 117
nested-fragments, 0, 0, 0, 0, 0, 2201, 1, 244, 23, 4, 116
intellij-hcl, 10, 2, 52, 19, 83, 1281, 38, 13620, 972, 5, 115
ConstraintLayoutAnimations, 0, 0, 0, 0, 0, 293, 0, 74, 4, 2, 115
Cockpit, 4, 0, 15, 18, 37, 229, 2, 3993, 295, 9, 115
QuickDemo, 0, 0, 4, 1, 5, 741, 3, 558, 18, 6, 115
DroidSword, 0, 0, 0, 0, 0, 393, 0, 301, 26, 3, 115
clean-architecture, 0, 0, 0, 0, 0, 57, 0, 168, 5, 1, 115
Simple-Draw, 2, 0, 4, 4, 10, 1015, 14, 1241, 526, 37, 115
uplift, 2, 0, 1, 3, 6, 396, 0, 998, 97, 2, 115
RootHelper, 0, 0, 0, 0, 0, 755, 0, 208, 33, 1, 114
jkid, 0, 0, 2, 2, 4, 933, 0, 992, 84, 6, 114
EasyPullLayout, 1, 0, 1, 2, 4, 454, 3, 1198, 9, 2, 114
ToggleEditTextView, 1, 0, 0, 2, 3, 213, 0, 270, 31, 2, 114
JcPlayer, 3, 1, 2, 6, 12, 845, 10, 1453, 308, 8, 114
votlin-app, 0, 0, 1, 10, 11, 45, 0, 1573, 184, 4, 114
EasyHttp, 0, 0, 6, 1, 7, 579, 0, 403, 20, 2, 113
memes, 0, 0, 3, 3, 6, 330, 1, 1212, 25, 4, 113
twittnuker, 77, 36, 467, 184, 764, 1814, 16, 83474, 3092, 9, 113
klutter, 9, 4, 180, 26, 219, 1207, 1, 9416, 308, 4, 113
GithubTrending, 0, 0, 0, 0, 0, 330, 7, 300, 59, 1, 113
dagger-androidinjector, 0, 0, 0, 0, 0, 609, 1, 409, 38, 1, 112
KotlinVerbalExpressions, 1, 0, 1, 1, 3, 544, 0, 721, 33, 3, 112
android-fab, 2, 0, 3, 4, 9, 976, 5, 959, 346, 3, 112
yubioath-android, 4, 0, 11, 8, 23, 1909, 9, 3137, 358, 9, 112
rootfw, 2, 0, 14, 6, 22, 2137, 0, 2160, 251, 2, 111
kraph, 1, 0, 6, 3, 10, 794, 5, 1187, 44, 5, 111
QuickPermissions-Kotlin, 0, 0, 4, 1, 5, 147, 2, 482, 26, 4, 111
BezierCurve, 0, 0, 1, 2, 3, 312, 1, 427, 11, 2, 110
boot-app, 0, 0, 5, 8, 13, 1109, 2, 3102, 238, 3, 110
kotlin-swagger-spring-functional-template, 0, 0, 0, 0, 0, 360, 0, 174, 132, 3, 110
tudounotepad, 0, 0, 0, 1, 1, 1243, 0, 427, 52, 3, 110
MVVMPosts, 0, 0, 0, 1, 1, 154, 4, 376, 15, 3, 110
android-mvvm-rx, 0, 0, 0, 0, 0, 479, 0, 269, 10, 2, 109
spring-petclinic-kotlin, 0, 0, 4, 2, 6, 450, 3, 1822, 653, 44, 109
korio, 15, 4, 187, 63, 269, 700, 3, 18825, 601, 3, 109
RxLocationManager, 0, 0, 6, 3, 9, 1016, 5, 1264, 172, 4, 109
bilisoleil-kotlin, 1, 1, 6, 56, 64, 500, 2, 14659, 132, 1, 108
rules_kotlin, 1, 0, 10, 5, 16, 298, 35, 3004, 165, 12, 108
android-RuntimePermissionsBasic, 0, 0, 2, 0, 2, 1277, 3, 359, 15, 1, 108
RxPM, 2, 0, 4, 16, 22, 492, 4, 3987, 267, 4, 108
ore-infinium, 12, 9, 60, 23, 104, 1427, 14, 13534, 1067, 4, 108
WallpaperStore, 0, 0, 3, 4, 7, 1001, 1, 1052, 20, 1, 108
ParallaxImageView, 0, 0, 3, 0, 3, 231, 0, 291, 18, 2, 108
gdx-setup, 1, 1, 8, 13, 23, 935, 4, 8744, 194, 5, 107
Koloda-Android, 2, 0, 13, 5, 20, 276, 5, 945, 17, 5, 107
actions-on-google-kotlin, 2, 0, 3, 11, 16, 505, 6, 9576, 279, 4, 107
android-SliceViewer, 0, 0, 1, 0, 1, 201, 3, 764, 22, 7, 107
tornadofx-samples, 0, 0, 1, 1, 2, 941, 2, 1139, 86, 9, 107
Fuse, 1, 0, 14, 1, 16, 944, 4, 775, 31, 2, 107
CryptoMoon, 1, 0, 16, 35, 52, 482, 2, 4107, 154, 6, 107
AdvancedRecycleView, 0, 0, 0, 0, 0, 148, 0, 178, 14, 2, 107
vertx-lang-kotlin, 4, 2, 338, 5, 349, 755, 24, 28873, 263, 15, 107
fountain, 0, 0, 13, 7, 20, 178, 0, 4457, 51, 2, 106
Kolley, 2, 0, 259, 4, 265, 958, 7, 2958, 42, 3, 106
BatteryChargeLimit, 2, 2, 2, 4, 10, 617, 36, 1421, 219, 17, 106
PermissionsKt, 0, 0, 1, 1, 2, 265, 2, 251, 6, 1, 106
AndroidPhysicsAnimation, 0, 0, 0, 0, 0, 477, 0, 308, 22, 2, 106
KotlinAndroidViewBindings, 0, 0, 1, 1, 2, 584, 0, 801, 41, 5, 106
hexagon, 3, 5, 54, 12, 74, 956, 22, 6141, 1715, 9, 106
droidcon-nyc-2017-puzzlers, 0, 0, 0, 0, 0, 426, 0, 263, 6, 2, 106
kotlin-spring-example, 0, 0, 5, 2, 7, 1005, 0, 489, 7, 2, 106
tut-spring-boot-kotlin, 0, 0, 0, 0, 0, 212, 4, 307, 33, 7, 106
SkeletonLoadingView, 1, 0, 0, 0, 1, 529, 0, 224, 18, 4, 105
DrawableBadge, 0, 1, 0, 1, 2, 408, 4, 287, 55, 7, 105
GankJetpack, 0, 1, 2, 5, 8, 174, 2, 1110, 12, 3, 105
gradle-testsets-plugin, 0, 0, 3, 4, 7, 1369, 5, 1177, 110, 15, 104
k8s-kotlin-dsl, 0, 0, 4, 0, 4, 621, 0, 7319, 99, 5, 104
SuperCalendar, 1, 0, 15, 1, 17, 298, 0, 1826, 62, 3, 104
WanAndroid, 21, 0, 132, 114, 267, 255, 0, 10618, 282, 4, 104
GeekNews, 2, 0, 8, 8, 18, 20, 0, 3453, 132, 1, 104
intellij-elm, 4, 0, 49, 19, 72, 428, 27, 15235, 243, 3, 104
kotlin-architecture-components-notes-demo, 0, 0, 0, 2, 2, 549, 0, 306, 15, 3, 103
konform, 2, 0, 1, 2, 5, 263, 3, 948, 32, 1, 103
Dagger2, 0, 0, 0, 2, 2, 890, 0, 920, 387, 2, 103
GenjiDialogV2, 3, 0, 7, 5, 15, 132, 1, 1868, 37, 3, 102
YouTubeExtractor, 0, 0, 1, 1, 2, 979, 2, 517, 52, 5, 102
kotlin-android-mvvm-starter, 0, 0, 0, 3, 3, 158, 0, 514, 73, 10, 102
LiveSmashBar, 2, 0, 0, 6, 8, 203, 0, 1832, 57, 1, 102
Currency, 2, 0, 1, 3, 6, 778, 0, 823, 18, 2, 102
BelleORM, 2, 0, 7, 4, 13, 781, 8, 1568, 157, 4, 101
ruby-type-inference, 1, 1, 13, 8, 23, 619, 10, 3763, 533, 9, 101
RoundKornerLayouts, 0, 0, 2, 0, 2, 523, 6, 336, 26, 3, 101
henkaku-android, 0, 0, 0, 1, 1, 838, 0, 189, 15, 1, 100
DropdownTextView, 1, 0, 3, 2, 6, 287, 1, 492, 16, 2, 100
sheetmenu, 0, 0, 1, 3, 4, 545, 5, 333, 52, 2, 100
AndroidAppUpdater, 0, 1, 6, 2, 9, 866, 8, 805, 237, 6, 100
espresso-helper, 0, 0, 1, 0, 1, 210, 6, 1238, 11, 3, 100
data-binding, 0, 0, 2, 0, 2, 1273, 0, 346, 51, 3, 99
AsyncAwait-Android, 1, 0, 5, 2, 8, 764, 1, 847, 27, 1, 99
rx-keyboard-detector, 0, 0, 0, 0, 0, 234, 1, 103, 8, 2, 99
kotlin-testrunner, 0, 0, 0, 1, 1, 875, 10, 396, 41, 5, 99
lice, 5, 5, 13, 11, 34, 646, 0, 3123, 466, 5, 98
Simple-Flashlight, 2, 0, 1, 5, 8, 1054, 10, 892, 350, 29, 98
OpenConference-android, 1, 4, 8, 24, 37, 914, 11, 6056, 72, 3, 98
Motion-ShapeOfView, 0, 0, 0, 0, 0, 6, 0, 46, 17, 2, 97
StatusBarAlert, 0, 1, 3, 2, 6, 191, 1, 441, 31, 2, 97
Kotlin-Koans, 0, 0, 12, 1, 13, 1115, 0, 2183, 61, 2, 97
Lives, 2, 1, 1, 0, 4, 234, 3, 1308, 49, 3, 96
monotweety, 2, 0, 6, 15, 23, 792, 6, 5375, 643, 4, 96
RichUtilsKt, 2, 3, 57, 12, 74, 544, 4, 7159, 451, 6, 95
java-dotenv, 0, 0, 0, 0, 0, 365, 1, 420, 242, 3, 95
spring-kotlin-fullstack, 0, 0, 0, 0, 0, 410, 0, 51, 12, 3, 95
multiplatform-settings, 1, 1, 0, 4, 6, 200, 5, 1458, 63, 1, 95
debug_view_kotlin, 0, 0, 0, 7, 7, 337, 1, 1076, 17, 2, 94
