Project, LC (t=400), LM(t=20), LPL(t=2), TMM(t=5), Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
jackson-module-kotlin, 0, 0, 3, 2, 5, 1551, 47, 2406, 629, 23, 511
intellij-solidity, 2, 0, 21, 15, 38, 642, 29, 7751, 355, 15, 509
habitica-android, 40, 13, 74, 131, 258, 1374, 102, 29606, 2501, 73, 502
android-databinding, 1, 0, 6, 2, 9, 277, 7, 1706, 31, 2, 499
wasabi, 3, 1, 19, 5, 28, 2071, 21, 3639, 651, 27, 494
android-components, 35, 58, 74, 54, 221, 249, 281, 46709, 1068, 65, 493
root-tools, 5, 9, 26, 9, 49, 2617, 6, 5291, 905, 11, 486
kara, 1, 1, 46, 18, 66, 2166, 4, 6895, 675, 24, 483
RxJavaDemoApp, 10, 2, 4, 25, 41, 233, 5, 6156, 8, 2, 483
Light, 0, 0, 33, 1, 34, 569, 2, 548, 28, 8, 483
navigation-toolbar-android, 2, 0, 10, 12, 24, 331, 4, 2333, 218, 6, 482
creative-viewpager, 0, 0, 2, 2, 4, 206, 0, 546, 20, 3, 482
kotlinconf-spinner, 2, 0, 30, 9, 41, 439, 5, 3701, 200, 15, 480
awesome-conferences-database, 0, 0, 0, 0, 0, 429, 0, 434, 623, 15, 476
kotlin-frontend-plugin, 2, 2, 10, 9, 23, 738, 63, 3885, 313, 17, 470
kotlin-workshop, 0, 1, 28, 0, 29, 724, 3, 4186, 89, 9, 467
ktx, 23, 4, 167, 12, 206, 877, 13, 19708, 433, 14, 464
awaker, 2, 0, 4, 6, 12, 507, 0, 2563, 300, 1, 464
UltimateBar, 1, 0, 8, 1, 10, 730, 10, 695, 80, 4, 462
awesome-kotlin-android, 0, 0, 0, 0, 0, 273, 0, 0, 20, 2, 462
composer, 1, 0, 6, 0, 7, 598, 46, 2683, 71, 18, 461
RxPay, 1, 0, 1, 2, 4, 436, 4, 644, 117, 3, 460
Murmur, 0, 0, 7, 5, 12, 1170, 0, 1914, 62, 2, 458
kotlin-koi, 0, 0, 36, 6, 42, 1034, 4, 3452, 69, 6, 455
DateTimeRangePicker, 0, 0, 2, 0, 2, 705, 8, 447, 17, 3, 448
ChatMessageView, 3, 0, 0, 4, 7, 839, 21, 1829, 349, 15, 446
depends, 0, 0, 0, 0, 0, 26, 0, 273, 26, 2, 446
Transportr, 5, 0, 14, 20, 39, 1906, 62, 6749, 1175, 46, 444
McImage, 0, 0, 5, 0, 5, 603, 0, 398, 86, 8, 441
LightCalendarView, 1, 0, 2, 6, 9, 734, 21, 1625, 66, 6, 441
Kluent, 10, 0, 5, 2, 17, 1021, 7, 10379, 445, 25, 437
spring-boot-kotlin-demo, 0, 0, 0, 0, 0, 1029, 2, 82, 61, 5, 432
PickPhotoSample, 0, 0, 1, 5, 6, 694, 8, 1127, 206, 3, 430
kotcity, 6, 4, 53, 27, 90, 265, 0, 7759, 638, 8, 430
