Project, LF, LPL, TMM, Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
phishman3579/java-algorithms-implementation,0,236,78,314,1831,18,30786,855,31,2431
google/binnavi,164,3517,447,4128,1194,23,455685,301,21,2420
google/hover,3,31,17,51,1077,22,7491,145,4,2418
cglib/cglib,2,792,36,830,1702,43,19134,852,26,2417
airbnb/airpal,0,74,5,79,1665,85,6634,597,36,2412
romainguy/ViewServer,0,2,4,6,2698,7,772,26,8,2410
apache/jmeter,32,764,287,1083,3105,12,195055,22565,38,2404
florent37/DiagonalLayout,0,3,1,4,772,6,402,66,10,2401
sd6352051/NiftyDialogEffects,0,0,1,1,1578,3,866,96,11,2397
ozodrukh/CircularReveal,0,25,1,26,1468,21,2464,92,15,2396
raphw/byte-buddy,298,68,13,379,1826,24,218971,5033,50,2394
bmelnychuk/AndroidTreeView,2,18,3,23,1383,107,2503,57,7,2390
MagicMashRoom/SuperCalendar,0,32,6,38,563,64,2309,162,8,2389
harjot-oberai/MusicDNA,10,316,61,387,939,12,89704,349,10,2385
apache/hbase,450,6464,1352,8266,1647,6,870384,43016,382,2382
pchmn/MaterialChipsInput,0,18,6,24,591,102,2388,24,2,2381
jhalterman/failsafe,0,39,24,63,1244,50,8423,354,17,2380
glomadrian/Grav,0,18,2,20,603,15,1397,51,3,2380
fyhertz/libstreaming,0,26,10,36,2125,220,7864,125,13,2376
wenmingvs/AndroidProcess,0,6,4,10,1041,13,2829,71,2,2376
uber/NullAway,5,142,27,174,450,32,14701,254,10,2371
languagetool-org/languagetool,124,831,114,1069,1935,272,135475,28798,135,2371
chewiebug/GCViewer,3,95,41,139,2590,54,23942,683,47,2369
pnikosis/materialish-progress,0,4,1,5,1471,17,797,45,5,2366
dreamhead/moco,11,88,58,157,2229,99,19153,2410,33,2360
stfalcon-studio/ChatKit,5,41,7,53,661,52,6014,295,24,2360
flavioarfaria/KenBurnsView,0,7,2,9,1712,10,877,113,10,2359
nisrulz/sensey,0,19,10,29,1109,21,4022,243,3,2357
DylanVann/react-native-fast-image,1,13,0,14,591,101,779,387,38,2355
500px/500px-android-blur,0,0,0,0,1353,25,271,23,5,2355
JakeWharton/Telecine,2,15,5,22,1495,37,1705,271,32,2345
apache/beam,282,2826,940,4048,1027,82,542069,19575,545,2339
youtube/api-samples,0,8,0,8,1812,167,4394,467,20,2336
githubwing/ZoomHeader,0,10,2,12,719,5,645,19,2,2329
googlesamples/google-services,0,11,6,17,1285,44,1937,629,44,2328
Screetsec/TheFatRat,28,1721,152,1901,854,36,98493,625,11,2322
LawnchairLauncher/Lawnchair,11,686,110,807,632,337,64247,19518,244,2316
iPaulPro/Android-ItemTouchHelper-Demo,0,5,0,5,1260,43,544,13,1,2312
konifar/android-material-design-icon-generator-plugin,2,2,1,5,1426,13,1038,120,14,2309
iwgang/CountdownView,0,17,4,21,1140,25,3478,98,7,2308
ronmamo/reflections,1,11,14,26,2049,89,5135,150,35,2300
hussien89aa/AndroidTutorialForBeginners,0,36,7,43,790,8,5008,35,2,2296
simple-android-framework/android_design_patterns_analysis,0,0,0,0,1366,5,340,149,16,2294
ityouknow/spring-cloud-examples,11,0,0,11,576,8,1585,61,2,2289
siyamed/android-shape-imageview,0,51,3,54,1547,52,2795,82,5,2286
abel533/MyBatis-Spring-Boot,0,0,0,0,1072,89,1132,49,2,2285
auth0/java-jwt,0,29,26,55,1724,38,8616,323,37,2282
Twitter4J/Twitter4J,1,378,74,453,3502,22,48144,2340,170,2281
rovo89/XposedInstaller,2,58,18,78,2428,139,8057,1068,56,2279
dlew/joda-time-android,0,14,4,18,1782,7,2273,334,16,2277
luckybilly/CC,0,15,8,23,367,9,5302,164,6,2276
h2oai/h2o-2,4,1162,242,1408,2118,11,112125,16955,96,2273
JackyAndroid/AndroidChromium,66,1893,395,2354,874,17,187870,68,6,2271
mpusher/mpush,0,110,44,154,941,16,25337,1565,6,2271
Nightonke/CoCoin,6,131,22,159,1135,27,21342,104,2,2271
brianfrankcooper/YCSB,6,305,82,393,3142,165,32045,1361,166,2270
goldze/MVVMHabit,0,107,21,128,492,3,11141,183,1,2267
theDazzler/droidicon,0,29,0,29,1470,8,3411,167,3,2264
aritraroy/PatternLockView,3,6,2,11,608,13,2013,41,2,2264
oracle/opengrok,7,394,125,526,2148,474,101242,4491,115,2261
eclipse/jetty.project,106,2330,670,3106,2691,377,419274,18759,129,2258
looly/hutool,2,1136,179,1317,1687,0,114709,1807,22,2256
alibaba/easyexcel,0,44,9,53,292,22,6064,76,3,2249
android-cjj/JJSearchViewAnim,1,5,1,7,966,5,1248,64,3,2242
ffay/lanproxy,0,12,5,17,735,74,2970,60,3,2242
twitter/distributedlog,33,596,129,758,1040,1,83069,107,23,2240
qiujuer/Genius-Android,1,101,25,127,1599,3,12700,649,5,2239
markushi/android-ui,0,12,2,14,1526,12,758,15,3,2237
TeamAmaze/AmazeFileManager,1,271,50,322,1595,244,39631,3726,115,2235
Prototik/HoloEverywhere,6,604,123,733,2456,49,59515,921,58,2234
thingsboard/thingsboard,81,915,168,1164,724,406,80235,2030,73,2234
vipulasri/Timeline-View,0,5,0,5,1076,6,683,61,4,2233
deano2390/MaterialShowcaseView,0,17,3,20,1208,117,1741,103,20,2231
xinghongfei/LookLook,0,83,16,99,827,25,8051,115,13,2230
apache/camel,4455,6362,1680,12497,3475,2,1645597,44636,634,2230
btraceio/btrace,1,522,76,599,1550,25,61518,1110,20,2229
Frank-Zhu/PullZoomView,1,11,4,16,1543,29,1666,27,3,2229
google/google-java-format,1,94,28,123,1294,56,17278,489,56,2228
javaee-samples/javaee7-samples,28,85,18,131,1916,98,55800,1480,66,2228
