Project, LC (t=100), LM(t=20), LPL(t=2), TMM(t=5), Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
AVLoadingIndicatorView,2,27,6,2,37,1128,62,2336,97,10,8102
AndroidSlidingUpPanel,4,19,37,3,63,2004,276,2737,361,62,8091
BottomBar,8,25,30,7,70,984,294,3545,790,47,8090
platform_frameworks_base,5812,19158,21296,3584,49850,3687,0,3085761,384553,2952,8077
Calligraphy,6,7,35,1,49,1801,137,1529,328,42,8046
GSYVideoPlayer,91,206,261,80,638,742,17,30397,962,7,8042
ARouter,13,32,18,7,70,711,20,5011,239,17,7991
RxTool,136,395,534,80,1145,792,108,55183,590,3,7963
spark,38,50,190,36,314,2761,210,17051,967,144,7889
mockito,153,166,178,175,672,2234,255,61075,5164,174,7881
uCrop,19,53,57,10,139,1055,91,5591,238,39,7851
HomeMirror,5,14,10,1,30,1190,36,2077,115,11,7844
symphony,113,439,298,23,873,2334,2,50588,6198,36,7719
MaterialViewPager,5,19,21,2,47,1311,183,1902,311,27,7706
Fragmentation,29,68,153,27,277,1006,91,10556,587,19,7676
FlycoTabLayout,6,25,28,3,62,1112,228,2927,41,2,7659
FileDownloader,57,96,161,42,356,1069,118,19698,785,9,7655
cheesesquare,2,1,1,0,4,1277,20,498,27,4,7643
Android_Data,0,1,2,1,4,1331,2,155,107,8,7576
pinpoint,577,1903,2654,440,5574,1497,102,351274,10481,100,7574
RxPermissions,2,5,3,2,12,1153,59,1118,223,22,7533
clojure,104,335,1018,104,1561,3071,6,49840,3639,180,7459
guice,184,750,346,136,1416,1642,316,81632,1846,89,7434
DanmakuFlameMaster,33,81,138,26,278,1932,205,11550,1173,30,7384
banner,4,16,18,2,40,947,163,2551,148,5,7349
jedis,74,213,1479,79,1845,3089,158,33062,2193,174,7331
webmagic,20,45,23,15,103,2042,262,15106,1221,45,7300
ActionBarSherlock,89,187,212,63,551,2820,90,34761,1645,76,7294
agera,54,43,44,46,187,1074,4,18171,160,10,7289
incubator-druid,1435,5715,2841,666,10657,2224,1195,568722,9758,330,7259
auto,65,258,110,53,486,2013,135,30730,996,85,7187
junit4,103,53,189,102,447,3603,120,37728,2524,187,7186
springboot-learning-example,0,4,12,1,17,657,14,5934,112,6,7160
Apktool,30,124,106,24,284,2442,133,14585,1747,64,7102
graal,62,126,747,43,978,1046,247,973531,34423,165,7095
glide-transformations,2,5,34,1,42,1416,17,1836,231,15,7010
MVPArms,25,33,80,28,166,841,4,11339,1003,15,7008
lombok,150,406,729,87,1372,3457,560,75618,2526,92,7002
redisson,337,1001,2393,371,4102,1779,209,163961,4402,80,6955
dagger,22,65,53,17,157,2306,61,11880,1832,101,6923
dropwizard,104,149,334,110,697,2867,111,58844,5293,408,6908
SimianArmy,71,177,144,58,450,2333,41,27737,801,65,6877
UltimateRecyclerView,61,149,226,52,488,1397,182,20635,826,17,6852
Android-Bootstrap,23,51,45,15,134,1850,29,13088,343,32,6835
android-gif-drawable,16,7,35,5,63,2125,24,4809,1099,19,6804
RxJava-Android-Samples,8,26,25,12,71,1586,9,3406,356,29,6794
tink,144,397,232,71,844,1633,28,45206,1297,43,6705
eureka,110,259,291,65,725,2313,87,44021,2659,99,6695
spring-boot-examples,2,8,18,3,31,750,11,4389,119,4,6676
easypermissions,8,5,27,6,46,1069,5,2629,178,28,6676
dbeaver,815,2464,3114,334,6727,1131,755,368544,10821,86,6674
PagerSlidingTabStrip,2,6,6,2,16,2039,227,724,31,6,6651
atlas,433,1156,1222,195,3006,635,55,259641,1611,33,6546
jsoup,63,173,87,62,385,3263,166,23927,1636,84,6541
StatusBarUtil,2,12,17,1,32,1014,71,1301,71,9,6514
material-theme-jetbrains,40,109,112,17,278,1159,11,28711,2297,45,6512
okhttputils,7,24,23,6,60,1196,218,2857,79,10,6477
AndroidAutoLayout,6,15,53,3,77,1102,132,3356,49,4,6461
zuul,55,141,198,41,435,2083,115,26099,840,66,6458
AndroidNote,3,8,3,1,15,1056,37,425,1433,4,6437
canal,221,593,389,109,1312,2142,24,75026,923,81,6436
hugo,1,5,2,3,11,1826,51,406,123,19,6423
UltimateAndroidReference,0,0,0,0,0,594,0,23,301,32,6414
VirtualAPK,26,55,108,18,207,514,31,8405,116,10,6411
RxLifecycle,8,35,0,18,61,1224,2,4938,312,21,6398
timber,4,18,42,5,69,1956,42,1841,375,45,6331
react-native-camera,16,67,80,13,176,1334,345,8554,1080,260,6328
WeChatLuckyMoney,2,13,2,3,20,1152,22,1085,226,13,6294
buck,2177,7512,4942,1195,15826,2048,426,839158,18011,557,6254
sweet-alert-dialog,4,12,5,1,22,1498,140,932,58,5,6244
hellocharts-android,55,85,126,27,293,1505,253,11371,825,18,6237
metrics,81,146,148,68,443,3194,152,22193,2834,245,6128
arthas,82,201,179,48,510,88,41,27583,419,22,6108
javapoet,28,90,34,32,184,2123,66,9685,796,79,6101
physical-web,26,60,62,17,165,1517,91,9942,1415,75,6065
xxl-job,15,61,43,10,129,1093,65,6976,1084,25,6015
sharding-sphere,137,146,475,122,880,1042,37,93016,10826,72,5956
SmarterStreaming,42,190,263,27,522,974,1,23363,1264,1,5947
spring-boot-admin,35,66,53,26,180,1584,19,18385,1557,86,5928
rocketmq,254,845,687,149,1935,725,46,96463,666,62,5912
DroidPlugin,43,172,268,27,510,1186,207,22243,229,28,5911
android-testing,2,8,10,4,24,1506,46,3753,190,34,5891
ion,29,121,77,20,247,2013,302,10637,832,39,5851
interview,47,395,309,17,768,1589,91,32131,805,30,5826
EffectiveAndroidUI,3,2,10,11,26,1605,5,3718,153,11,5816
QMUI_Android,81,256,427,46,810,583,103,35223,267,8,5815
TakePhoto,9,24,30,7,70,1209,336,3276,167,12,5766
SmartTabLayout,5,16,48,5,74,1380,91,3486,105,14,5748
OpenRefine,234,860,624,114,1832,2232,383,93480,4031,115,5746
JsBridge,2,5,7,1,15,1368,104,658,71,21,5739
AndroidAsync,67,196,214,57,534,2284,299,22708,981,61,5736
Mybatis-PageHelper,19,81,80,11,191,1630,36,10098,542,24,5734
solo,81,214,107,16,418,2420,6,32913,2542,40,5731
android-floating-action-button,2,11,4,2,19,1528,146,1065,157,12,5727
neo4j,1733,4897,5443,1827,13900,2204,211,753962,61442,240,5721
ListViewAnimations,24,26,62,18,130,2077,87,8938,654,27,5697
material,86,227,305,71,689,1447,212,28649,297,9,5657
LitePal,43,145,139,23,350,2104,30,20553,394,7,5594
elasticsearch-analysis-ik,10,28,17,4,59,2536,181,3137,260,37,5561
material-components-android,106,412,371,63,952,720,66,52137,1660,68,5556
android-gpuimage,18,33,73,12,136,2243,273,10582,402,37,5542
u2020,11,40,71,9,131,1837,14,6012,485,43,5539
dynamic-load-apk,11,15,29,10,65,1701,92,3301,163,15,5521
androidmvp,0,0,1,1,2,1698,0,474,38,12,5518
CoreNLP,1167,3997,3233,714,9111,1977,136,673974,15571,138,5505
springside4,59,84,92,47,282,2467,71,17902,1076,29,5479
Android-SpinKit,2,8,22,3,35,980,29,2397,90,13,5476
litho,271,1014,966,233,2484,667,73,138967,8524,326,5474
SwipeBackLayout,5,12,37,4,58,1918,96,2368,83,14,5470
MaterialEditText,3,22,24,4,53,1487,183,4122,239,23,5469
Android-Debug-Database,4,17,37,5,63,739,63,2670,288,16,5411
zookeeper,287,981,626,190,2084,3530,176,116701,3113,110,5407
ShowcaseView,5,12,20,3,40,2294,95,2913,530,43,5407
StickyListHeaders,7,11,32,6,56,2450,151,2284,414,50,5387
swagger-core,107,255,222,91,675,2700,316,55966,4051,259,5382
ShortcutBadger,2,10,22,1,35,1836,132,1196,200,41,5378
Mycat-Server,314,1146,843,154,2457,1452,511,122134,3060,151,5346
