Project, LC (t=100), LM(t=20), LPL(t=2), TMM(t=5), Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
emojicon,10,6,30,4,50,1772,76,4346,151,17,3419
grafika,50,133,67,24,274,1802,40,11627,67,3,3418
android-mvp-architecture,14,23,30,17,84,667,29,6692,160,13,3417
parceler,13,26,127,10,176,1971,21,13033,517,25,3410
Store,25,54,114,27,220,726,30,14082,349,55,3397
ahbottomnavigation,7,13,43,6,69,983,121,2947,241,21,3392
GT,204,684,460,89,1437,1047,37,67154,74,11,3391
TwinklingRefreshLayout,16,45,68,16,145,998,99,6216,71,2,3391
mapdb,9,63,18,10,100,2291,113,6726,2491,51,3391
SwipeMenuListView,5,10,15,2,32,1554,134,1436,72,12,3389
PageIndicatorView,15,43,38,8,104,827,22,4110,305,18,3389
ImagePicker,13,33,56,5,107,1033,145,4298,143,14,3388
socket.io-client-java,8,65,3,9,85,2037,251,3829,298,14,3386
android-butterknife-zelezny,5,15,15,2,37,1798,50,1999,84,11,3380
Launcher3,178,603,689,117,1587,544,88,71897,19728,213,3375
Android-IMSI-Catcher-Detector,37,132,76,17,262,1828,144,13734,3429,141,3355
opentsdb,225,1017,298,175,1715,3012,443,100274,2163,157,3342
quasar,182,510,619,157,1468,2069,79,75064,3375,26,3342
pipeline,147,501,336,78,1062,1236,3,62661,5150,20,3333
SeeWeather,10,29,16,8,63,1009,5,4113,168,9,3324
MaterialSearchView,4,28,34,4,70,1168,151,1401,69,10,3324
google-authenticator,18,38,26,9,91,1509,146,5054,214,36,3320
netty-socketio,17,38,92,13,160,2509,222,8346,816,42,3315
Magisk,31,80,65,16,192,808,41,8519,2298,119,3315
ExpandableTextView,2,4,6,1,13,1653,38,538,39,7,3306
CloudReader,74,151,170,42,437,735,6,22326,505,5,3291
StylishMusicPlayer,24,51,31,23,129,803,20,6730,79,5,3288
ExplosionField,1,2,4,1,8,1159,21,393,15,3,3287
incubator-heron,309,803,801,211,2124,1157,387,113030,5479,117,3284
ActionBar-PullToRefresh,10,38,25,11,84,2000,68,4668,401,19,3272
android-priority-jobqueue,94,252,194,78,618,1619,130,16386,495,20,3268
actor-platform,410,1068,1398,231,3107,1253,319,168877,63,2,3267
Conductor,45,134,144,37,360,984,88,12974,300,31,3263
android-stackblur,3,9,7,0,19,1928,17,992,72,11,3257
archi,6,10,9,2,27,1171,10,2314,44,6,3253
mybatis-plus,57,108,226,46,437,829,16,28253,2804,77,3253
atmosphere,102,313,363,111,889,3070,29,50254,10252,165,3252
JFoenix,101,241,126,44,512,1174,52,31191,1199,59,3249
ticker,5,12,16,4,37,863,9,1878,59,6,3247
crawler4j,19,56,23,3,101,2521,139,7153,440,41,3231
JsonPath,42,66,165,55,328,2862,156,17338,804,50,3229
JKeyboardPanelSwitch,9,18,25,5,57,1243,48,2669,195,4,3222
ASimpleCache,7,12,24,7,50,1946,33,2324,21,4,3221
RecyclerViewPager,10,24,23,3,60,1408,118,2594,193,31,3217
DeepLinkDispatch,7,23,24,5,59,1263,36,3378,262,40,3212
hackpad,220,971,926,136,2253,1199,40,112606,43,9,3208
drag-sort-listview,12,47,53,4,116,2368,62,4847,174,12,3203
XCL-Charts,127,329,339,83,878,1630,4,37866,173,4,3198
CircleIndicator,5,4,27,3,39,1579,11,1334,91,8,3196
rabbitmq-tutorials,0,43,38,1,82,2987,2,1969,850,90,3194
CircleProgress,5,13,8,3,29,1487,76,1588,78,17,3192
GeekNews,35,75,88,20,218,840,42,13674,101,5,3191
zxing-android-embedded,19,43,38,15,115,2188,130,6701,1241,43,3186
LoganSquare,17,55,128,5,205,1377,83,8946,143,9,3167
afinal,21,55,110,15,201,2230,63,11177,123,7,3162
smali,155,520,467,71,1213,2254,99,85949,1838,31,3152
mybatis-generator-gui,10,24,30,4,68,931,76,2768,200,23,3151
springfox,63,102,149,61,375,2394,366,40896,3795,174,3145
GalleryFinal,22,69,81,13,185,1161,117,9584,120,5,3140
sonarqube,1268,2065,3260,1456,8049,2881,7,645015,28054,102,3129
hawk,5,6,2,5,18,1375,34,1064,281,23,3127
FirebaseUI-Android,49,100,132,34,315,1235,48,16552,1596,90,3116
spring-security-oauth,156,305,256,87,804,2679,625,59668,1365,115,3114
shimmer-android,4,5,5,2,16,1367,1,705,78,14,3111
Android-Tips,0,3,0,0,3,1172,1,204,144,19,3101
DropDownMenu,2,5,9,0,16,1251,50,597,123,2,3079
SpringCloud-Learning,0,0,1,0,1,826,9,1950,68,6,3076
react-native-svg,22,50,49,6,127,1043,224,7422,1114,100,3072
JSON-java,11,52,7,9,79,2896,13,7183,334,33,3071
Conversations,120,494,390,92,1096,1766,331,54505,5483,140,3069
floatingsearchview,8,33,28,4,73,1099,69,4311,295,12,3068
native-navigation,13,44,97,16,170,800,71,5319,143,23,3066
Crouton,5,12,27,3,47,2305,6,2311,429,37,3064
malmo,64,219,117,28,428,922,93,20509,1729,39,3062
Music-Player,3,3,6,2,14,933,0,1146,67,3,3058
bitcoinj,251,795,542,205,1793,1832,257,120676,3602,124,3058
robospice,58,137,131,36,362,2258,87,18387,2287,38,3048
Sunshine-Version-2,11,37,24,5,77,1361,259,2631,168,4,3046
BGABanner-Android,5,15,30,2,52,1492,65,2452,138,4,3043
keycloak,1061,2905,3624,831,8421,1972,44,506875,12668,379,3035
animate,3,14,12,2,31,1105,5,2166,18,1,3018
termux-app,30,109,65,21,225,1129,249,9745,506,30,3008
android-viewbadger,3,6,6,1,16,2616,17,776,23,1,3001
RecyclerViewItemAnimators,3,28,13,3,47,1556,9,2699,40,3,3000
AndEngine,173,193,1249,87,1702,2560,118,40624,2144,34,3000
MagicaSakura,22,33,92,4,151,885,20,6878,62,8,2995
Android-ZBLibrary,88,132,214,57,491,1193,7,20935,429,4,2995
AndroidViewHover,2,3,24,1,30,1570,18,743,34,5,2993
LayoutManagerGroup,10,17,30,3,60,211,21,3161,109,4,2992
Android-Week-View,4,22,13,1,40,1530,165,2387,213,15,2989
spring-security,560,932,597,401,2490,2511,891,228675,8469,271,2982
Robust,11,38,47,3,99,621,44,3434,345,9,2967
generator,125,1515,195,87,1922,2114,6,91692,976,25,2966
libsvm,8,42,25,5,80,1902,88,3683,1048,41,2963
gephi,428,1228,684,180,2520,2591,414,175508,4646,81,2951
BadgeView,2,21,20,1,44,655,35,1607,59,4,2930
FadingActionBar,3,5,15,1,24,2010,87,2308,125,4,2924
android-saripaar,21,44,39,6,110,2269,65,11769,303,12,2919
Android-Material-Examples,3,10,10,0,23,1504,9,999,83,3,2916
anthelion,174,483,400,58,1115,1125,4,51497,7,4,2915
DraggablePanel,8,9,24,7,48,1687,57,3847,385,10,2912
FlyRefresh,7,19,25,3,54,1277,5,1919,43,4,2901
groovy,498,1504,3155,446,5603,1319,19,284631,28259,347,2900
BigImageViewer,6,25,28,7,66,749,17,3344,96,11,2898
spring-cloud-netflix,88,130,200,61,479,1598,307,43749,6349,201,2893
99-problems,0,14,10,1,25,1099,7,3195,224,9,2891
FlexibleAdapter,58,129,190,48,425,1303,21,24276,983,21,2890
Nuwa,0,0,3,0,3,1110,65,188,19,1,2878
AndroidVideoCache,9,11,24,17,61,1334,90,4195,93,7,2873
JamsMusicPlayer,134,548,414,56,1152,1607,28,61066,79,4,2862
hazelcast,1600,3051,4789,1536,10976,2440,706,944505,28706,263,2861
StickerCamera,50,123,245,29,447,1239,46,21710,53,4,2851
javacv,68,287,220,36,611,1679,95,24695,435,56,2841
android-process-button,4,6,13,1,24,1668,25,940,82,4,2836
AlgoDS,20,292,181,5,498,709,6,25078,603,16,2834
MultiImageSelector,6,14,14,4,38,1327,90,1459,29,3,2832
jersey,999,1761,2164,624,5548,2382,552,476891,3284,107,2832
spruce-android,5,10,16,5,36,640,3,3517,194,10,2825
xmall,135,84,280,95,594,485,10,37366,154,2,2824
android-percent-support-lib-sample,2,2,5,1,10,1248,1,381,36,2,2816
TextDrawable,4,5,6,3,18,1498,51,779,11,1,2811
PreviewSeekBar,4,4,14,5,27,670,6,1261,174,3,2795
network-connection-class,4,4,4,3,15,1348,20,860,20,5,2793
tcc-transaction,27,68,102,15,212,1086,159,7259,173,8,2775
GsonFormat,18,61,57,10,146,1486,43,7069,98,11,2771
Mapper,70,150,137,22,379,1465,173,27751,649,24,2767
smartTable,40,119,309,15,483,382,58,16440,170,3,2766
http-request,4,44,25,2,75,2592,69,6557,471,16,2765
PhotoPicker,8,23,35,2,68,1249,107,2983,313,30,2763
vavr,200,202,838,220,1460,1760,62,102835,4326,100,2754
objectbox-java,36,97,150,37,320,670,115,16141,720,4,2745
aws-sdk-java,11263,25089,2363,8852,47567,3170,130,6389975,1913,185,2743
android-flip,15,38,43,7,103,2378,82,4920,114,6,2739
AndroidResideMenu,1,4,12,1,18,1807,92,953,76,14,2738
ScalingLayout,1,4,7,1,13,420,7,712,30,6,2738
spring-petclinic,2,1,5,4,12,2146,12,2131,670,58,2734
graphql-java,118,158,365,105,746,1238,42,39241,1729,136,2732
reactive-streams-jvm,32,107,26,27,192,1731,12,10730,488,33,2731
react-native-splash-screen,0,1,0,0,1,802,195,202,131,41,2729
sofa-jarslink,1,8,25,1,35,296,6,1848,118,6,2728
android-adDialog,6,16,12,2,36,845,20,1891,20,2,2724
jodd,420,1103,1072,357,2952,2270,4,170602,5140,56,2721
android-betterpickers,47,160,182,16,405,2075,109,19306,586,51,2720
tomcat,1115,3303,2330,562,7310,2612,12,468249,23037,39,2719
Dragonfly,15,39,72,8,134,375,37,6647,409,29,2715
paascloud-master,79,125,149,51,404,253,35,48154,96,9,2711
LeafPic,41,116,128,28,313,1053,61,16118,1369,46,2706
jOOQ,400,878,4747,310,6335,2779,1497,360129,6939,85,2701
flow,8,26,24,10,68,1900,37,4591,353,31,2700
boxing,23,43,66,14,146,672,18,7897,107,3,2694
FastDev4Android,55,142,196,29,422,1130,9,23876,122,2,2693
VideoPlayerManager,7,42,55,15,119,1235,78,5267,73,4,2691
GuideView,4,12,9,1,26,889,21,1664,28,1,2690
yuicompressor,9,54,19,4,86,3642,142,6520,525,51,2689
weiciyuan,196,635,530,99,1460,2313,62,63558,3135,5,2688
MarqueeView,3,7,14,2,26,907,26,778,71,9,2686
simplify,66,129,173,61,429,1774,13,21482,1082,7,2684
learning-spark,3,17,3,1,24,1623,21,2242,416,8,2683
android-menudrawer,13,55,52,8,128,2276,27,5823,216,11,2677
EhViewer,124,425,402,74,1025,1656,157,46277,2403,26,2677
blurkit-android,1,5,3,1,10,749,3,693,82,9,2674
cropper,4,14,33,2,53,1950,102,1603,84,11,2671
jfinal,100,214,458,69,841,2405,37,39612,513,21,2670
JazzyViewPager,1,6,15,1,23,2123,44,663,26,5,2665
pulsar,596,2414,1509,421,4940,880,223,269720,3113,87,2660
Android,2,12,14,1,29,1910,36,2512,57,4,2659
android,250,886,592,164,1892,2283,384,52017,8321,98,2652
requery,76,184,256,84,600,1107,120,39955,830,30,2651
GuillotineMenu-Android,1,4,2,1,8,1259,6,367,44,8,2650
DDComponentForAndroid,4,17,20,2,43,444,21,2178,163,7,2650
android-maps-utils,38,84,88,30,240,2018,144,15858,787,67,2647
vespa,2167,4787,5420,1854,14228,905,57,694776,23418,64,2644
SuperTextView,7,31,21,3,62,767,10,5171,196,6,2636
storio,157,304,143,114,718,1548,39,45055,1092,25,2632
CustomActivityOnCrash,3,9,4,2,18,1605,17,1179,98,8,2623
GreenDroid,24,31,65,12,132,3123,54,9005,69,10,2623
Highlight,3,11,24,3,41,1144,59,1317,64,5,2622
SuperRecyclerView,4,31,29,4,68,1445,79,2764,49,9,2622
junit5,176,177,533,231,1117,1414,191,88030,8353,114,2620
frontend-maven-plugin,9,23,34,3,69,1913,223,2851,569,100,2620
MinecraftForge,278,668,1356,105,2407,2491,149,116367,8328,359,2605
ViewpagerTransition,2,7,10,1,20,797,2,640,49,2,2605
javacpp,31,113,589,67,800,1679,19,24390,591,27,2605
scalpel,1,4,4,0,9,1784,10,609,59,6,2602
pinned-section-listview,2,7,10,2,21,2023,27,647,88,13,2600
java-learning,5,45,9,5,64,1020,5,16434,73,3,2597
ActivityRouter,4,10,17,3,34,961,32,1190,113,8,2597
XChange,446,1112,2307,211,4076,2488,204,222543,7454,338,2595
MSEC,438,866,187,301,1792,727,32,159035,201,5,2588
StickyHeaderListView,5,17,27,3,52,947,7,2569,63,2,2588
RichText,18,34,63,6,121,1223,57,5759,165,4,2580
MasteringAndroidDataBinding,0,2,5,1,8,1272,24,696,79,8,2580
wire,159,254,146,85,644,1922,41,45194,1473,64,2571
SuperToasts,8,27,29,5,69,2001,38,4036,316,5,2569
ExpectAnim,4,9,27,5,45,643,11,2666,87,7,2567
T-MVP,14,30,54,8,106,930,5,5300,173,5,2567
MarsDaemon,5,14,11,5,35,1066,43,1341,4,2,2564
sugar,22,41,28,26,117,2662,293,7822,525,79,2561
yanxuan-weex-demo,44,13,13,2,72,446,15,19939,346,6,2558
LintCode,3,90,46,2,141,1310,1,77794,339,8,2557
ice,19,51,76,4,150,1990,104,6997,256,53,2550
bisq,259,1050,940,167,2416,1719,304,139207,7288,144,2547
WoWoViewPager,14,77,97,16,204,997,5,9943,137,4,2545
ProgressWheel,2,5,3,1,11,2486,9,554,93,25,2544
DeepLearning,6,24,32,2,64,2154,26,1226,106,2,2543
SmartCropper,2,10,10,1,23,479,3,1034,54,6,2542
XhsEmoticonsKeyboard,24,60,94,15,193,1360,26,5682,27,4,2541
CoordinatorBehaviorExample,1,1,3,1,6,1197,25,196,31,5,2539
android-pulltorefresh,1,5,2,1,9,2877,41,384,109,18,2532
elasticsearch-jdbc,27,89,56,29,201,2367,416,11735,566,52,2532
android-pathview,4,5,7,2,18,1405,8,1080,82,11,2525
FastBle,16,40,43,8,107,824,108,4179,143,5,2523
rstudio,632,2634,1950,469,5685,2910,908,266185,25340,87,2521
Gadgetbridge,140,402,354,100,996,1420,338,59370,3987,184,2517
jvm-serializers,95,174,139,48,456,3136,9,25638,536,48,2517
ChipsLayoutManager,21,40,58,16,135,844,30,8088,505,7,2517
SwipeDelMenuLayout,3,17,5,1,26,822,36,1071,124,3,2513
LQRWeChat,67,184,145,37,433,656,24,19687,19,3,2508
dex-method-counts,3,15,6,3,27,1666,14,1501,49,15,2508
greys-anatomy,45,152,137,14,348,2195,59,12094,660,16,2505
spring-cloud-microservice-example,1,1,0,1,3,1285,21,1229,51,9,2504
ThreeTenABP,0,0,0,0,0,1241,8,139,56,9,2502
Material-Movies,5,10,29,7,51,1394,18,3485,219,5,2502
ribbon,81,213,145,42,481,2140,156,29438,839,52,2502
cordova-android,23,54,73,18,168,2188,40,7271,4107,214,2488
android-pdfview,5,17,26,9,57,2195,137,3580,92,10,2487
cryptomator,22,30,36,14,102,1757,107,6617,1249,23,2485
robotium,25,65,124,9,223,3272,86,9675,1198,50,2483
CircularFloatingActionMenu,7,18,10,3,38,1589,91,2038,49,3,2480
study,77,220,328,62,687,1368,7,30349,97,4,2471
ShimmerRecyclerView,2,5,4,0,11,691,5,819,59,11,2461
SSM,40,23,88,30,181,887,1,11383,442,6,2460
FastAdapter,49,64,168,44,325,1063,3,15173,1533,45,2457
FreeFlow,13,32,35,4,84,1874,33,5021,325,12,2455
Algorithms,5,20,31,26,82,1477,10,10699,415,12,2452
material-intro-screen,5,46,39,7,97,804,75,5018,108,5,2452
android-vision,32,80,43,14,169,1243,266,10399,76,18,2444
Terasology,503,985,1682,391,3561,2823,415,241390,9681,301,2444
spring-data-examples,15,43,29,17,104,1760,31,92099,453,25,2440
FloatWindow,6,11,7,6,30,376,46,1551,37,6,2436
material-menu,3,11,9,3,26,1599,6,1114,118,7,2435
SlidingRootNav,2,2,6,3,13,609,18,1106,19,5,2433
LikeButton,3,4,13,2,22,1068,16,1025,127,10,2433
cobar,170,622,254,87,1133,1775,49,89934,63,19,2432
java-algorithms-implementation,119,265,236,78,698,1831,18,30786,855,31,2431
binnavi,845,2706,3517,447,7515,1194,23,455685,301,21,2420
hover,24,30,31,17,102,1077,22,7491,145,4,2418
cglib,41,120,792,36,989,1702,43,19134,852,26,2417
airpal,11,40,74,5,130,1665,85,6634,597,36,2412
ViewServer,2,9,2,4,17,2698,7,772,26,8,2410
jmeter,527,1218,764,287,2796,3105,12,195055,22565,38,2404
DiagonalLayout,2,3,3,1,9,772,6,402,66,10,2401
NiftyDialogEffects,1,2,0,1,4,1578,3,866,96,11,2397
CircularReveal,6,12,25,1,44,1468,21,2464,92,15,2396
byte-buddy,36,42,68,13,159,1826,24,218971,5033,50,2394
AndroidTreeView,3,25,18,3,49,1383,107,2503,57,7,2390
SuperCalendar,9,20,32,6,67,563,64,2309,162,8,2389
MusicDNA,208,529,316,61,1114,939,12,89704,349,10,2385
hbase,1978,7436,6464,1352,17230,1647,6,870384,43016,382,2382
MaterialChipsInput,8,20,18,6,52,591,102,2388,24,2,2381
failsafe,21,34,39,24,118,1244,50,8423,354,17,2380
Grav,2,6,18,2,28,603,15,1397,51,3,2380
libstreaming,23,70,26,10,129,2125,220,7864,125,13,2376
AndroidProcess,6,8,6,4,24,1041,13,2829,71,2,2376
NullAway,43,118,142,27,330,450,32,14701,254,10,2371
languagetool,285,913,831,114,2143,1935,272,135475,28798,135,2371
GCViewer,82,185,95,41,403,2590,54,23942,683,47,2369
materialish-progress,2,10,4,1,17,1471,17,797,45,5,2366
moco,38,36,88,58,220,2229,99,19153,2410,33,2360
ChatKit,10,13,41,7,71,661,52,6014,295,24,2360
KenBurnsView,2,4,7,2,15,1712,10,877,113,10,2359
sensey,9,17,19,10,55,1109,21,4022,243,3,2357
react-native-fast-image,3,5,13,0,21,591,101,779,387,38,2355
500px-android-blur,2,3,0,0,5,1353,25,271,23,5,2355
Telecine,5,12,15,5,37,1495,37,1705,271,32,2345
beam,1414,3734,2826,940,8914,1027,82,542069,19575,545,2339
api-samples,22,56,8,0,86,1812,167,4394,467,20,2336
ZoomHeader,2,5,10,2,19,719,5,645,19,2,2329
google-services,7,19,11,6,43,1285,44,1937,629,44,2328
TheFatRat,204,539,1721,152,2616,854,36,98493,625,11,2322
Lawnchair,147,558,686,110,1501,632,337,64247,19518,244,2316
Android-ItemTouchHelper-Demo,0,0,5,0,5,1260,43,544,13,1,2312
android-material-design-icon-generator-plugin,2,12,2,1,17,1426,13,1038,120,14,2309
CountdownView,11,24,17,4,56,1140,25,3478,98,7,2308
reflections,16,27,11,14,68,2049,89,5135,150,35,2300
AndroidTutorialForBeginners,11,36,36,7,90,790,8,5008,35,2,2296
android_design_patterns_analysis,0,0,0,0,0,1366,5,340,149,16,2294
spring-cloud-examples,0,1,0,0,1,576,8,1585,61,2,2289
android-shape-imageview,10,18,51,3,82,1547,52,2795,82,5,2286
MyBatis-Spring-Boot,0,0,0,0,0,1072,89,1132,49,2,2285
java-jwt,24,25,29,26,104,1724,38,8616,323,37,2282
Twitter4J,117,227,378,74,796,3502,22,48144,2340,170,2281
XposedInstaller,29,89,58,18,194,2428,139,8057,1068,56,2279
joda-time-android,6,20,14,4,44,1782,7,2273,334,16,2277
CC,13,37,15,8,73,367,9,5302,164,6,2276
h2o-2,288,1014,1162,242,2706,2118,11,112125,16955,96,2273
AndroidChromium,577,1420,1893,395,4285,874,17,187870,68,6,2271
mpush,44,75,110,44,273,941,16,25337,1565,6,2271
CoCoin,53,205,131,22,411,1135,27,21342,104,2,2271
YCSB,99,337,305,82,823,3142,165,32045,1361,166,2270
MVVMHabit,34,74,107,21,236,492,3,11141,183,1,2267
droidicon,8,11,29,0,48,1470,8,3411,167,3,2264
PatternLockView,3,12,6,2,23,608,13,2013,41,2,2264
opengrok,224,713,394,125,1456,2148,474,101242,4491,115,2261
jetty.project,1138,4265,2330,670,8403,2691,377,419274,18759,129,2258
hutool,261,355,1136,179,1931,1687,0,114709,1807,22,2256
easyexcel,13,31,44,9,97,292,22,6064,76,3,2249
JJSearchViewAnim,7,15,5,1,28,966,5,1248,64,3,2242
lanproxy,13,27,12,5,57,735,74,2970,60,3,2242
distributedlog,181,821,596,129,1727,1040,1,83069,107,23,2240
Genius-Android,39,78,101,25,243,1599,3,12700,649,5,2239
android-ui,2,6,12,2,22,1526,12,758,15,3,2237
AmazeFileManager,118,405,271,50,844,1595,244,39631,3726,115,2235
HoloEverywhere,157,387,604,123,1271,2456,49,59515,921,58,2234
thingsboard,137,415,915,168,1635,724,406,80235,2030,73,2234
Timeline-View,1,5,5,0,11,1076,6,683,61,4,2233
MaterialShowcaseView,3,9,17,3,32,1208,117,1741,103,20,2231
LookLook,26,68,83,16,193,827,25,8051,115,13,2230
camel,2572,8220,6362,1680,18834,3475,2,1645597,44636,634,2230
btrace,94,396,522,76,1088,1550,25,61518,1110,20,2229
PullZoomView,6,16,11,4,37,1543,29,1666,27,3,2229
google-java-format,41,178,94,28,341,1294,56,17278,489,56,2228
javaee7-samples,16,125,85,18,244,1916,98,55800,1480,66,2228
bigbluebutton,283,770,1573,245,2871,3106,587,128342,22995,157,2226
Aria,118,240,166,71,595,1010,11,45437,663,6,2225
FlowingDrawer,3,16,21,2,42,1199,4,2196,99,5,2225
Carbon,84,331,484,48,947,1390,6,45964,433,5,2224
AboutLibraries,9,20,17,4,50,1678,2,2950,1348,99,2220
powermock,91,166,349,96,702,1642,320,57516,1595,48,2218
quartz,128,393,288,78,887,993,149,75583,2120,57,2218
hive,3631,14523,11274,2179,31607,3475,208,1553205,18121,281,2217
tape,3,16,11,7,37,2267,19,2002,329,30,2215
AndroidTVLauncher,6,10,7,3,26,973,3,1342,187,4,2211
weixin-java-tools,32,94,124,23,273,1560,78,17940,416,26,2208
AndroidTagGroup,3,10,9,1,23,1384,69,1111,72,1,2207
shopping-management-system,27,72,36,5,140,1105,12,8315,62,4,2204
9GAG,13,37,77,7,134,1684,53,5670,99,4,2204
react-native-blur,1,2,0,1,4,1326,84,287,230,47,2203
RecyclerViewCardGallery,1,5,8,0,14,815,15,529,23,4,2203
SpringIndicator,1,5,7,1,14,1394,21,689,54,3,2200
LoadingView,23,49,30,20,122,887,9,4204,57,1,2199
disunity,12,32,40,15,99,1953,161,6098,843,13,2197
incubator-dubbo-spring-boot-project,5,18,1,2,26,311,68,2422,206,17,2192
voldemort,658,1684,1040,428,3810,3465,81,206094,4959,107,2190
MovieGuide,7,7,4,9,27,1085,4,2721,197,19,2190
Slidr,6,22,44,6,78,1559,20,2888,99,10,2189
react-native-fbsdk,4,8,5,2,19,1210,22,2113,197,74,2187
ffmpeg-android-java,4,14,6,3,27,1536,216,1405,178,7,2186
immutables,121,230,163,133,647,1967,149,54422,1668,59,2186
Euclid,1,7,3,1,12,1353,1,604,7,5,2184
GraphView,11,29,27,5,72,2701,127,6764,439,42,2184
data-transfer-project,54,176,194,22,446,325,82,25144,1385,25,2183
qksms,80,172,123,22,397,1373,232,25146,1898,55,2183
databus,456,1737,924,231,3348,2169,34,177968,334,22,2182
AnimationEasingFunctions,0,1,39,0,40,1610,5,1410,41,9,2179
CardSlidePanel,2,12,10,1,25,1092,8,840,152,4,2179
Tangram-Android,42,122,142,30,336,606,22,20551,282,9,2177
RxGalleryFinal,30,79,97,16,222,947,121,11436,255,12,2174
BGABadgeView-Android,5,15,10,3,33,1237,18,1844,75,2,2172
material-ripple,2,5,6,2,15,1531,42,902,66,7,2170
mortar,10,26,19,11,66,1842,33,5048,288,32,2170
material-icon-lib,4,4,7,1,16,1225,5,957,31,3,2167
spring-boot-starter,3,6,2,1,12,1157,11,2599,481,16,2167
undertow,401,1272,1368,231,3272,2320,20,178486,6266,141,2164
MaterialIntroView,3,11,19,3,36,1030,46,1707,98,11,2163
BeautifulRefreshLayout,2,12,7,0,21,1208,4,1201,79,5,2160
android-styled-dialogs,8,10,17,4,39,2010,10,2012,289,30,2160
ViewInspector,8,31,32,10,81,1134,13,3276,91,2,2159
Unblock163MusicClient-Xposed,9,27,15,3,54,1046,87,2413,103,3,2158
wildfly,1263,3338,4475,756,9832,3062,51,776148,28484,418,2155
crate,480,1343,1470,633,3926,2055,79,259652,11293,67,2151
pentaho-kettle,1911,7038,5788,1008,15745,1874,27,963444,28266,369,2150
BubbleSeekBar,2,19,22,2,45,752,20,2062,146,6,2149
excelPanel,6,6,11,5,28,679,27,1528,24,1,2149
spring-loaded,102,448,362,77,989,2180,122,52528,244,18,2148
spock,60,102,224,60,446,2905,189,33432,3240,89,2148
AndroidFire,87,174,248,46,555,790,32,29623,22,2,2146
UETool,10,20,25,3,58,193,2,2742,191,10,2145
web3j,89,192,375,73,729,812,207,35154,1233,108,2143
uhabits,71,143,151,69,434,1478,110,31170,1285,26,2142
SublimePicker,27,93,110,14,244,1281,57,12275,53,2,2140
azkaban,238,791,716,130,1875,2229,500,84782,2490,102,2137
BottomNavigationViewEx,4,16,10,1,31,743,12,1428,67,7,2132
BottomSheet,8,12,23,4,47,1525,12,2266,180,12,2131
jvm-tools,110,278,149,92,629,2402,10,38666,376,20,2129
philm,44,120,143,30,337,1621,13,19233,765,5,2129
AntennaPod,147,484,330,98,1059,2308,363,53127,4642,119,2126
awesome-android-complete-reference,0,0,0,0,0,893,2,96,177,9,2126
reark,9,11,46,17,83,1793,10,10046,415,16,2124
WebCollector,18,40,16,14,88,1597,36,7248,320,6,2124
RxCache,20,64,91,21,196,1050,13,10797,246,18,2117
pixel-dungeon,94,274,167,107,642,1583,49,49294,25,2,2117
netty-learning,218,585,665,121,1589,1893,3,105668,97,4,2116
sofa-boot,20,65,72,9,166,237,16,17146,231,14,2112
ignite,3146,9853,7952,2600,23551,1375,1422,1526649,29336,299,2103
litemall,161,104,309,112,686,248,15,76695,551,11,2097
RecyclerView-FlexibleDivider,5,11,8,1,25,1410,22,1113,74,8,2094
condom,11,19,172,12,214,609,5,4470,122,2,2094
mongo-java-driver,426,759,1632,317,3134,3601,12,176900,7040,153,2090
Android-SwitchIcon,1,2,2,1,6,686,1,331,56,5,2090
lucene-solr,3282,12383,8497,2096,26258,1037,261,1431288,55380,164,2090
ViewAnimator,6,9,3,5,23,1069,16,1934,98,9,2087
Swipecards,4,8,6,2,20,1572,70,774,168,9,2087
AndroidHttpCapture,58,148,125,34,365,771,28,20791,82,3,2083
javaparser,402,1011,915,342,2670,2583,302,181471,5167,133,2083
LRecyclerView,60,167,145,20,392,920,74,17754,393,11,2082
Android-MaterialRefreshLayout,15,31,19,9,74,1173,75,3342,90,7,2079
CommonUtilLibrary,58,152,183,35,428,576,7,23741,156,3,2077
SimpleCropView,6,51,25,6,88,1223,52,4103,248,13,2076
tray,22,53,35,21,131,1389,29,6785,315,13,2076
CityPicker,6,16,16,1,39,1002,29,1383,30,1,2075
cordova-plugin-local-notifications,9,28,6,4,47,1933,150,4039,914,52,2074
RxJava2Examples,9,33,18,2,62,524,5,4470,50,1,2073
androidquery,35,106,305,32,478,2634,76,15976,695,8,2073
android-beacon-library,35,95,103,33,266,1581,119,14907,1218,58,2070
device-year-class,2,5,1,1,9,1360,4,612,55,13,2068
AndroidPhotoFilters,3,10,10,0,23,898,19,1062,41,7,2064
KeyBox,21,73,20,4,118,2117,62,9051,454,20,2063
ListenerMusicPlayer,62,217,122,30,431,654,16,19955,34,3,2060
BlurView,2,3,5,2,12,948,10,922,212,8,2058
WheelPicker,4,8,7,2,21,1090,86,2619,156,10,2051
Android-ReactiveLocation,6,9,25,2,42,1762,25,2428,169,27,2049
ViewPagerTransforms,2,3,2,1,8,1657,6,865,83,12,2048
querydsl,235,417,1006,270,1928,2669,414,147689,7635,88,2047
UltimateAndroid,826,2423,3483,503,7235,1629,15,335987,905,9,2045
loaderviewlibrary,1,0,6,1,8,821,0,477,57,11,2045
Android-Clean-Boilerplate,0,0,2,0,2,1034,2,373,23,5,2044
AdapterDelegates,5,21,33,8,67,1215,4,3560,141,16,2044
