Project, LC (t=400), LM(t=20), LPL(t=3), TMM(t=20), Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
zipkin, 6, 185, 143, 22, 356, 2362, 214, 41986, 3661, 153, 9837
HanLP, 30, 475, 308, 16, 829, 1507, 429, 72066, 1174, 36, 9756
bytecode-viewer, 45, 467, 718, 27, 1257, 1502, 108, 81765, 262, 21, 9690
tutorials, 23, 649, 921, 42, 1635, 2035, 43, 302484, 10649, 615, 9539
android-Ultra-Pull-To-Refresh, 2, 43, 90, 1, 136, 1472, 174, 5686, 183, 12, 9407
PocketHub, 0, 88, 127, 3, 218, 2634, 123, 22444, 3410, 143, 9339
apollo, 7, 259, 510, 6, 782, 995, 151, 45973, 3323, 50, 9297
disruptor, 4, 68, 186, 5, 263, 2255, 4, 18040, 1052, 44, 9224
react-native-navigation, 2, 46, 181, 8, 237, 988, 278, 17734, 4771, 264, 9151
Android-ObservableScrollView, 3, 110, 181, 1, 295, 1477, 176, 14177, 419, 18, 9137
storm, 22, 246, 453, 9, 730, 2625, 44, 57639, 2014, 69, 9080
mybatis-3, 11, 186, 445, 22, 664, 2109, 131, 76634, 2766, 138, 9021
MaterialDesignLibrary, 0, 32, 7, 0, 39, 1516, 262, 2961, 95, 13, 8909
VasSonic, 5, 73, 67, 1, 146, 480, 2, 9987, 365, 19, 8825
Luban, 0, 7, 4, 0, 11, 853, 74, 1180, 189, 11, 8792
Android-PickerView, 3, 45, 45, 0, 93, 1427, 175, 4886, 461, 22, 8769
Android-PullToRefresh, 1, 28, 36, 1, 66, 2552, 30, 4929, 479, 26, 8768
vert.x, 72, 1012, 1051, 107, 2242, 2717, 174, 135166, 8255, 251, 8760
vlayout, 14, 101, 224, 5, 344, 635, 100, 15768, 348, 17, 8724
Arduino, 11, 235, 149, 8, 403, 2990, 1020, 33539, 6960, 272, 8659
recyclerview-animators, 1, 6, 5, 1, 13, 1433, 92, 1977, 295, 33, 8636
Java, 2, 75, 47, 0, 124, 861, 94, 11300, 670, 146, 8503
okhttp-OkGo, 3, 89, 110, 7, 209, 1044, 311, 19608, 253, 8, 8488
HikariCP, 6, 89, 73, 5, 173, 1873, 97, 15112, 2835, 106, 8480
presto, 237, 4227, 7087, 206, 11757, 2298, 1466, 676315, 14884, 346, 8335
PermissionsDispatcher, 1, 100, 18, 1, 120, 1197, 11, 7736, 685, 28, 8267
Matisse, 0, 30, 52, 0, 82, 590, 226, 5067, 194, 35, 8257
hadoop, 1159, 16278, 12760, 664, 30861, 1549, 204, 2130523, 62629, 295, 8238
AppIntro, 1, 18, 31, 1, 51, 1270, 68, 2955, 612, 71, 8183
AVLoadingIndicatorView, 0, 25, 6, 1, 32, 1127, 62, 2336, 97, 10, 8102
JiaoZiVideoPlayer, 2, 36, 41, 3, 82, 1022, 296, 5458, 1695, 37, 8101
BottomBar, 3, 9, 30, 1, 43, 983, 294, 3545, 790, 47, 8089
AndroidSlidingUpPanel, 2, 19, 37, 2, 60, 2003, 276, 2737, 361, 62, 8089
platform_frameworks_base, 1635, 16024, 21296, 843, 39798, 3686, 0, 3085759, 384553, 2952, 8076
Calligraphy, 0, 5, 35, 0, 40, 1800, 137, 1529, 328, 42, 8046
GSYVideoPlayer, 13, 197, 261, 12, 483, 741, 17, 30397, 962, 7, 8038
